epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.4657,1.87247,1.58097,1.15971,0.65925,0.40927,0.45325,0.21932,1.73117,1.0913,1.10708,0.000665012,0.000665012,0.000665012
2,165.169,1.66314,1.03318,1.05818,0.73935,0.44931,0.50618,0.25093,1.60801,0.98095,1.0675,0.00132807,0.00132807,0.00132807
3,240.498,1.61228,0.96914,1.04484,0.73543,0.42559,0.49333,0.2498,1.62722,0.97231,1.06726,0.00197673,0.00197673,0.00197673
4,316.005,1.58016,0.92006,1.03297,0.7546,0.45154,0.52252,0.26835,1.57014,0.91228,1.06115,0.00195155,0.00195155,0.00195155
5,488.27,1.53543,0.87004,1.01962,0.77783,0.44213,0.52664,0.28136,1.55221,0.94475,1.04951,0.00191441,0.00191441,0.00191441
6,562.96,1.49362,0.82677,1.00535,0.78742,0.49209,0.56345,0.29201,1.55483,0.82748,1.04427,0.00186737,0.00186737,0.00186737
7,638.891,1.46453,0.79762,0.9939,0.76594,0.49416,0.55607,0.28373,1.52182,0.88219,1.03267,0.00181093,0.00181093,0.00181093
8,713.344,1.44049,0.77959,0.98717,0.78724,0.49406,0.57041,0.29815,1.50273,0.78772,1.03482,0.00174571,0.00174571,0.00174571
9,787.784,1.40422,0.74944,0.97644,0.79244,0.50398,0.57938,0.30547,1.49487,0.78704,1.03392,0.00167244,0.00167244,0.00167244
10,862.375,1.3798,0.72944,0.96683,0.79075,0.51123,0.58583,0.30553,1.48572,0.75707,1.02327,0.00159191,0.00159191,0.00159191
11,937.104,1.35494,0.70755,0.96035,0.80568,0.52115,0.59984,0.31744,1.46796,0.73691,1.02267,0.001505,0.001505,0.001505
12,1010.94,1.32441,0.68734,0.95043,0.79336,0.52027,0.59425,0.31604,1.47363,0.74014,1.02277,0.00141267,0.00141267,0.00141267
13,1091.36,1.29585,0.66823,0.94141,0.80531,0.52308,0.59763,0.31526,1.46308,0.73372,1.01867,0.00131593,0.00131593,0.00131593
14,1167.72,1.26528,0.6469,0.93242,0.79814,0.52893,0.60252,0.31776,1.46956,0.72313,1.02486,0.00121583,0.00121583,0.00121583
15,1246.67,1.23177,0.62747,0.92346,0.81168,0.52617,0.60896,0.32601,1.46266,0.72512,1.02271,0.00111348,0.00111348,0.00111348
16,1323.55,1.20351,0.61156,0.91468,0.80249,0.53381,0.60836,0.32314,1.463,0.7263,1.02795,0.00101,0.00101,0.00101
17,1402.97,1.17082,0.59151,0.90505,0.81513,0.5309,0.61131,0.32636,1.46324,0.72194,1.02997,0.000906517,0.000906517,0.000906517
18,1480.48,1.13942,0.57659,0.89474,0.80578,0.53241,0.60985,0.32615,1.46243,0.71366,1.02915,0.000804167,0.000804167,0.000804167
19,1556.21,1.09988,0.55787,0.88573,0.81043,0.53003,0.61066,0.32588,1.46624,0.72302,1.0326,0.000704073,0.000704073,0.000704073
20,1631.88,1.06781,0.54286,0.87754,0.81132,0.53177,0.61346,0.32641,1.46778,0.71869,1.03711,0.000607331,0.000607331,0.000607331
21,1707.13,1.0374,0.52986,0.86925,0.81049,0.5333,0.61339,0.32572,1.47246,0.72199,1.04406,0.000515,0.000515,0.000515
22,1781.55,1.00304,0.5145,0.86171,0.8099,0.53369,0.61349,0.32442,1.47808,0.72448,1.04855,0.000428093,0.000428093,0.000428093
23,1855.1,0.97203,0.50214,0.85438,0.80845,0.5332,0.61325,0.32444,1.47756,0.72684,1.05382,0.000347561,0.000347561,0.000347561
24,1932.29,0.9456,0.49216,0.84823,0.80546,0.53345,0.61164,0.32307,1.48076,0.72767,1.05574,0.000274287,0.000274287,0.000274287
25,2005.34,0.91996,0.4826,0.84354,0.80657,0.53251,0.60985,0.32233,1.482,0.7315,1.06089,0.000209073,0.000209073,0.000209073
26,2079.36,0.89371,0.47177,0.83859,0.80532,0.53376,0.61141,0.32136,1.48577,0.73284,1.0652,0.000152635,0.000152635,0.000152635
27,2152.87,0.87742,0.46545,0.8358,0.80413,0.53156,0.60979,0.32031,1.4882,0.73739,1.06819,0.00010559,0.00010559,0.00010559
28,2226.47,0.86427,0.4617,0.83317,0.80417,0.53034,0.6086,0.3194,1.49022,0.74075,1.06979,6.8454e-05,6.8454e-05,6.8454e-05
29,2300.68,0.85538,0.4586,0.8313,0.8034,0.53066,0.60823,0.31942,1.49063,0.74157,1.07085,4.16339e-05,4.16339e-05,4.16339e-05
30,2376.57,0.84738,0.45512,0.83058,0.80248,0.53105,0.60834,0.31943,1.49109,0.742,1.07226,2.54233e-05,2.54233e-05,2.54233e-05
