epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.641,2.0778,1.60216,1.3409,0.5562,0.23382,0.2613,0.13161,2.02174,1.59052,1.36283,0.0515602,0.00149814,0.00149814
2,215.226,1.8732,1.28626,1.23561,0.65285,0.3531,0.39144,0.1844,1.80903,1.45338,1.24542,0.00305212,0.00299001,0.00299001
3,312.059,1.7469,1.12674,1.17348,0.66605,0.35473,0.39902,0.19468,1.86848,1.24218,1.28632,0.00296755,0.00296755,0.00296755
4,408.475,1.67467,1.03428,1.13949,0.71491,0.41671,0.46947,0.23658,1.67326,1.0015,1.17005,0.00292732,0.00292732,0.00292732
5,507.46,1.63672,0.98604,1.1199,0.76291,0.41825,0.47914,0.24539,1.64082,0.96838,1.14354,0.00287162,0.00287162,0.00287162
6,604.157,1.59735,0.94621,1.1019,0.7734,0.44527,0.50741,0.25767,1.6131,0.99129,1.13097,0.00280105,0.00280105,0.00280105
7,707.049,1.56934,0.92477,1.08941,0.73105,0.44412,0.50963,0.2645,1.58307,0.92937,1.12364,0.00271639,0.00271639,0.00271639
8,808.991,1.55017,0.90345,1.07996,0.78596,0.44228,0.51217,0.2668,1.57399,0.91492,1.12643,0.00261857,0.00261857,0.00261857
9,910.826,1.52417,0.87617,1.06999,0.77959,0.46314,0.53248,0.2749,1.56021,0.87834,1.11418,0.00250866,0.00250866,0.00250866
10,1009.32,1.50699,0.85763,1.05925,0.78117,0.46557,0.54303,0.28097,1.54579,0.85728,1.10574,0.00238786,0.00238786,0.00238786
11,1105.15,1.4853,0.83966,1.05247,0.77506,0.46478,0.5383,0.28457,1.53181,0.84597,1.09831,0.0022575,0.0022575,0.0022575
12,1207.57,1.46558,0.82212,1.0456,0.78737,0.47859,0.54506,0.28582,1.53427,0.8379,1.09409,0.002119,0.002119,0.002119
13,1306.28,1.45239,0.80756,1.04011,0.77974,0.4809,0.55395,0.2934,1.51759,0.83075,1.09239,0.00197389,0.00197389,0.00197389
14,1402.37,1.42997,0.7925,1.03274,0.7828,0.48571,0.56189,0.29803,1.49712,0.8144,1.0793,0.00182375,0.00182375,0.00182375
15,1498.68,1.41255,0.77892,1.02557,0.79608,0.48314,0.5601,0.29622,1.49602,0.81284,1.07496,0.00167022,0.00167022,0.00167022
16,1595.36,1.40085,0.76888,1.02156,0.78985,0.49896,0.56524,0.30098,1.49223,0.7975,1.07715,0.001515,0.001515,0.001515
17,1690.62,1.38191,0.75311,1.01428,0.79747,0.49902,0.57318,0.30567,nan,nan,nan,0.00135978,0.00135978,0.00135978
18,1787.21,1.36786,0.74452,1.00725,0.79102,0.49664,0.56663,0.3042,1.47805,0.78071,1.07635,0.00120625,0.00120625,0.00120625
19,1883.86,1.34609,0.72797,1.00256,0.79727,0.50109,0.57653,0.30657,nan,nan,nan,0.00105611,0.00105611,0.00105611
20,1981.27,1.3327,0.71887,0.99704,0.79431,0.50878,0.58168,0.30908,nan,nan,nan,0.000910996,0.000910996,0.000910996
21,2080.56,1.31988,0.71099,0.99091,0.80684,0.49986,0.58093,0.31051,nan,nan,nan,0.0007725,0.0007725,0.0007725
22,2185.82,1.30416,0.70129,0.98811,0.8042,0.50674,0.58299,0.31053,nan,nan,nan,0.000642139,0.000642139,0.000642139
23,2288.36,1.29073,0.69407,0.98177,0.79706,0.51074,0.5836,0.31065,nan,nan,nan,0.000521341,0.000521341,0.000521341
24,2383.6,1.28138,0.68739,0.97774,0.79248,0.51144,0.58198,0.30959,nan,nan,nan,0.00041143,0.00041143,0.00041143
25,2480.39,1.2728,0.68478,0.9744,0.7912,0.51249,0.58205,0.30984,nan,nan,nan,0.00031361,0.00031361,0.00031361
26,2577.37,1.25796,0.67425,0.97042,0.8012,0.50666,0.58487,0.31289,nan,nan,nan,0.000228952,0.000228952,0.000228952
27,2676.63,1.24913,0.66971,0.9677,0.79579,0.50985,0.58532,0.31249,nan,nan,nan,0.000158385,0.000158385,0.000158385
28,2780.95,1.24594,0.66814,0.96648,0.79603,0.51167,0.58542,0.31227,nan,nan,nan,0.000102681,0.000102681,0.000102681
29,2883.58,1.24088,0.66628,0.96604,0.79453,0.51272,0.58537,0.31197,nan,nan,nan,6.24508e-05,6.24508e-05,6.24508e-05
30,2981.03,1.2399,0.66401,0.96511,0.79525,0.51147,0.58556,0.31225,nan,nan,nan,3.8135e-05,3.8135e-05,3.8135e-05
