epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,209.832,1.82094,1.28891,1.13079,0.71159,0.40418,0.46932,0.23287,1.71429,1.05583,1.11559,0.0505615,0.000499379,0.000499379
2,410.672,1.67698,1.04271,1.08543,0.73972,0.42638,0.49288,0.24734,1.62282,0.9697,1.0969,0.00105878,0.000996669,0.000996669
3,614.398,1.60261,0.9517,1.06272,0.76731,0.44913,0.52006,0.27075,1.5667,0.90283,1.06917,0.000989183,0.000989183,0.000989183
4,818.66,1.54396,0.88528,1.03836,0.77697,0.47733,0.54178,0.2818,1.52813,0.85033,1.05749,0.000975773,0.000975773,0.000975773
5,1020.19,1.50191,0.84249,1.02435,0.80198,0.48956,0.57103,0.30191,1.49005,0.81039,1.04337,0.000957205,0.000957205,0.000957205
6,1218.01,1.46776,0.80587,1.01369,0.79827,0.5028,0.5736,0.30329,1.47898,0.77746,1.03816,0.000933683,0.000933683,0.000933683
7,1435.17,1.4329,0.77755,1.00158,0.79885,0.51003,0.58501,0.31319,1.45695,0.75617,1.03072,0.000905463,0.000905463,0.000905463
8,1640.03,1.40697,0.7528,0.99224,0.80967,0.51904,0.59702,0.31981,1.44508,0.73707,1.02644,0.000872857,0.000872857,0.000872857
9,1837.87,1.37733,0.72868,0.98185,0.80378,0.52241,0.59827,0.32185,1.43602,0.72811,1.02417,0.00083622,0.00083622,0.00083622
10,2044.89,1.34763,0.70775,0.96974,0.81313,0.52458,0.60535,0.32545,1.43582,0.7158,1.02305,0.000795954,0.000795954,0.000795954
11,2248.65,1.31878,0.68429,0.96147,0.81749,0.53075,0.6097,0.32962,1.42598,0.70697,1.01935,0.0007525,0.0007525,0.0007525
12,2445.82,1.28705,0.6653,0.95144,0.81226,0.53363,0.61045,0.32873,1.42868,0.69799,1.02036,0.000706335,0.000706335,0.000706335
13,2646.28,1.26348,0.64801,0.94289,0.80991,0.53594,0.61246,0.33057,1.42718,0.69609,1.02189,0.000657963,0.000657963,0.000657963
14,2853.13,1.22679,0.62719,0.93234,0.81682,0.53532,0.6148,0.33152,1.42633,0.69614,1.02303,0.000607916,0.000607916,0.000607916
15,3058.34,1.201,0.60981,0.92368,0.81446,0.53573,0.61455,0.33156,1.42828,0.69507,1.02575,0.000556742,0.000556742,0.000556742
16,3262.85,1.17246,0.59615,0.91525,0.81326,0.53772,0.61573,0.33186,1.43111,0.69761,1.02773,0.000505,0.000505,0.000505
17,3464.15,1.14103,0.57954,0.90593,0.81483,0.53742,0.61626,0.33125,1.43515,0.69889,1.0316,0.000453258,0.000453258,0.000453258
18,3667.43,1.11615,0.56703,0.89775,0.81436,0.5377,0.61576,0.33138,1.43656,0.70032,1.03259,0.000402084,0.000402084,0.000402084
19,3871.77,1.07793,0.54993,0.8888,0.81369,0.53635,0.61507,0.33081,1.43841,0.70194,1.03412,0.000352037,0.000352037,0.000352037
20,4077.34,1.05075,0.53675,0.88168,0.81464,0.53647,0.61533,0.33028,1.44036,0.70339,1.03609,0.000303665,0.000303665,0.000303665
21,4285.12,1.02709,0.52772,0.87522,0.81423,0.53622,0.61555,0.32986,1.44216,0.70487,1.03799,0.0002575,0.0002575,0.0002575
22,4492.22,0.99894,0.51533,0.86879,0.81619,0.53601,0.61585,0.32963,1.44387,0.70653,1.03968,0.000214046,0.000214046,0.000214046
23,4697.23,0.97402,0.50521,0.86266,0.81336,0.53609,0.6154,0.32913,1.44527,0.708,1.04124,0.00017378,0.00017378,0.00017378
24,4897.63,0.95564,0.49854,0.85813,0.8128,0.53617,0.61532,0.32887,1.44676,0.70962,1.04286,0.000137143,0.000137143,0.000137143
25,5100.91,0.93991,0.49284,0.85445,0.81311,0.53578,0.61511,0.32853,1.44801,0.71118,1.04427,0.000104537,0.000104537,0.000104537
26,5308.29,0.92094,0.48402,0.85084,0.81295,0.53576,0.61498,0.32824,1.44938,0.7127,1.04582,7.63174e-05,7.63174e-05,7.63174e-05
27,5519.08,0.90685,0.47922,0.84807,0.81066,0.53627,0.6148,0.3279,1.45076,0.71427,1.04722,5.2795e-05,5.2795e-05,5.2795e-05
28,5728.26,0.90063,0.47675,0.84652,0.81158,0.53548,0.61483,0.32764,1.45203,0.71589,1.04854,3.4227e-05,3.4227e-05,3.4227e-05
29,5939.53,0.89071,0.47342,0.84509,0.81021,0.53559,0.61452,0.32729,1.45323,0.71743,1.04988,2.08169e-05,2.08169e-05,2.08169e-05
30,6143.76,0.88849,0.47196,0.84471,0.80905,0.5359,0.6143,0.32737,1.45432,0.71891,1.05102,1.27117e-05,1.27117e-05,1.27117e-05
